num_ues,policy,reward,total_power_system,total_power_ue,total_power_uav,violations,vio_local,vio_offload
20,Greedy Offload,0.041199,2.001456,2.0,0.001456,1.025,0.0,1.025
20,Random Offload,0.054293,1.114622,1.112852,0.001769,1.83,0.945,0.885
20,Local Execution,0.017655181751982708,0.149372,0.149372,0.0,11.16,11.16,0.0
20,MAFRL,0.085818,0.82349,0.8198,0.00369,0.975,0.0,0.975
20,MAFRL-DDQN,0.157731,0.415821,0.4,0.015821,0.835,0.0,0.835
40,Greedy Offload,0.020091,4.005645,4.0,0.005645,2.15,0.0,2.15
40,Random Offload,0.026802,2.247333,2.241569,0.005764,3.32,1.77,1.55
40,Local Execution,0.009795563151034706,0.32378,0.32378,0.0,19.88,19.88,0.0
40,MAFRL,0.04248,1.677268,1.663784,0.013484,1.765,0.175,1.59
40,MAFRL-DDQN,0.042596,0.863267,0.8,0.063267,3.36,0.0,3.36
60,Greedy Offload,0.013323,6.011693,6.0,0.011693,3.2,0.0,3.2
60,Random Offload,0.017553,3.332176,3.320532,0.011644,5.12,2.64,2.48
60,Local Execution,0.0065990462329399945,0.432982,0.432982,0.0,29.64,29.64,0.0
60,MAFRL,0.027735,2.454602,2.427736,0.026865,2.735,0.385,2.35
60,MAFRL-DDQN,0.031677,1.337304,1.2,0.137304,4.185,0.0,4.185
80,Greedy Offload,0.0098,8.019938,8.0,0.019938,4.59,0.0,4.59
80,Random Offload,0.0126,4.453671,4.433845,0.019826,7.37,3.865,3.505
80,Local Execution,0.004536271401811849,0.528998,0.528998,0.0,43.22,43.22,0.0
80,MAFRL,0.019548,3.337029,3.291886,0.045143,4.12,1.055,3.065
80,MAFRL-DDQN,0.025059,1.841809,1.6,0.241809,5.06,0.0,5.06
100,Greedy Offload,0.007846,10.031382,10.0,0.031382,5.665,0.0,5.665
100,Random Offload,0.010825,5.564342,5.534482,0.029861,7.745,3.73,4.015
100,Local Execution,0.004630123758730813,0.993865,0.993865,0.0,41.425,41.425,0.0
100,MAFRL,0.013908,4.124946,4.054554,0.070392,6.98,2.505,4.475
100,MAFRL-DDQN,0.020958,2.372856,2.0,0.372856,5.805,0.0,5.805
120,Greedy Offload,0.006554,12.04415,12.0,0.04415,6.74,0.0,6.74
120,Random Offload,0.00851,6.642061,6.599624,0.042437,10.63,5.515,5.115
120,Local Execution,0.0034406447543336304,0.914257,0.914257,0.0,56.505,56.505,0.0
120,MAFRL,0.010838,4.959132,4.855335,0.103798,9.15,2.31,6.84
120,MAFRL-DDQN,0.01866,2.933164,2.4,0.533164,6.145,0.0,6.145
140,Greedy Offload,0.005645,14.06097,14.0,0.06097,7.63,0.0,7.63
140,Random Offload,0.007693,7.832936,7.776128,0.056809,10.77,4.8,5.97
140,Local Execution,0.003540246282447422,1.315404,1.315404,0.0,54.165,54.165,0.0
140,MAFRL,0.008752,5.61735,5.481842,0.135509,12.4,4.21,8.19
140,MAFRL-DDQN,0.015812,3.526243,2.8,0.726243,7.225,0.0,7.225
160,Greedy Offload,0.004937,16.078609,16.0,0.078609,8.69,0.0,8.69
160,Random Offload,0.006595,8.87294,8.799701,0.073239,13.085,6.33,6.755
160,Local Execution,0.0028530460175708343,1.352876,1.352876,0.0,67.62,67.62,0.0
160,MAFRL,0.007783,6.487852,6.300438,0.187415,13.61,4.115,9.495
160,MAFRL-DDQN,0.014548,4.152494,3.2,0.952494,7.515,0.0,7.515
180,Greedy Offload,0.004383,18.098982,18.0,0.098982,9.83,0.0,9.83
180,Random Offload,0.005941,10.076416,9.983869,0.092547,14.015,6.625,7.39
180,Local Execution,0.0026100271555837724,1.680648,1.680648,0.0,73.505,73.505,0.0
180,MAFRL,0.0068,7.331319,7.074091,0.257228,15.855,4.945,10.91
180,MAFRL-DDQN,0.012754,4.813316,3.6,1.213316,8.625,0.0,8.625
200,Greedy Offload,0.003942,20.121897,20.0,0.121897,10.925,0.0,10.925
200,Random Offload,0.005326,11.173629,11.060257,0.113371,15.725,7.63,8.095
200,Local Execution,0.0022597961219353673,1.795048,1.795048,0.0,85.145,85.145,0.0
200,MAFRL,0.00574,8.150243,7.818072,0.332171,19.905,7.875,12.03
200,MAFRL-DDQN,0.011573,5.502024,4.0,1.502024,9.37,0.0,9.37
